sku,product_name,regular_price,stock_quantity,stock_status,product_type,product_status,product_categories,tags,weight,length_mm,width_mm,height_mm,_acf_power_watts,_acf_cc_cv_type,_acf_dimming_type,_acf_output_current_ma,_acf_ip_protection,_acf_series_type,_acf_manufacturer_brand,_acf_manufacturer_part_number,_acf_dimensions_length_mm,_acf_dimensions_width_mm,_acf_dimensions_height_mm,_acf_dimension_category,_acf_input_voltage
1211240600,LED Converter HLG-240H-12B dimmbar 1-10V IP67,123.0,25,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,244.2,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-240H-12B,244.2,68,38.8,medium,220_240v_ac
1211320600,LED Converter HLG-320H-12B dimmbar 1-10V IP67,167.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,252,90,43.8,,,1_10v,,IP67,other,Simpex,HLG-320H-12B,252,90,43.8,large,220_240v_ac
1212025600,LED Converter LPF-25D-24 dimmbar 1-10V IP67,44.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,148,40,32,,,1_10v,,IP67,other,Simpex,LPF-25D-24,148,40,32,medium,220_240v_ac
1212040600,LED Converter LPF-40D-24 dimmbar 1-10V IP67,51.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,162.5,43,32,,,1_10v,,IP67,other,Simpex,LPF-40D-24,162.5,43,32,medium,220_240v_ac
1212040601,LED Converter HLG-40H-24B dimmbar 1-10V IP67,59.0,16,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,171,61.5,36.8,,,1_10v,,IP67,other,Simpex,HLG-40H-24B,171,61.5,36.8,medium,220_240v_ac
1212040602,LED Converter NPF 40W 1-10V dimmbar IP67,47.0,2,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,150,53,35,40,,1_10v,,IP67,other,Simpex,NPF-40D-24,150,53,35,medium,220_240v_ac
1212060200,LED Converter XLC 60W 24V/2.5A 1-10V,49.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,176,45,32,60,cv,1_10v,,,other,Simpex,XLC-60-24-BS,176,45,32,medium,220_240v_ac
1212060600,LED Converter HLG-60H-24B dimmbar 1-10V IP67,66.0,17,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,171,61.5,36.8,,,1_10v,,IP67,other,Simpex,HLG-60H-24B,171,61.5,36.8,medium,220_240v_ac
1212080200,LED Converter OT 80/220-240/24 DIM P,76.0,3,instock,simple,publish,LED Treiber,CONVERTER V,,250,50,34,,,,,,other,Osram/Ledvance,4008321981677,250,50,34,medium,220_240v_ac
1212080601,LED Converter HLG-80H-24B dimmbar 1-10V IP67,73.0,12,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,195.6,61.5,38.8,,,1_10v,,IP67,other,Simpex,HLG-80H-24B,195.6,61.5,38.8,medium,220_240v_ac
1212100600,LED Converter HLG-100H-24B dimmbar 1-10V IP67,97.0,22,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,220,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-100H-24B,220,68,38.8,medium,220_240v_ac
1212120601,LED Converter HLG-120H-24B dimmbar 1-10V IP67,85.0,16,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,220,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-120H-24B,220,68,38.8,medium,220_240v_ac
1212150600,LED Converter HLG-150H-24B dimmbar 1-10V IP67,102.0,17,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,228,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-150H-24B,228,68,38.8,medium,220_240v_ac
1212185600,LED Converter HLG-185H-24B dimmbar 1-10V IP67,109.0,8,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,228,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-185H-24B,228,68,38.8,medium,220_240v_ac
1212240601,LED Converter HLG-240H-24B dimmbar 1-10V IP67,123.0,16,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,244.2,68,38.8,,,1_10v,,IP67,other,Simpex,HLG-240H-24B,244.2,68,38.8,medium,220_240v_ac
1212320600,LED Converter HLG-320H-24B dimmbar 1-10V IP67,183.0,5,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,252,90,43.8,,,1_10v,,IP67,other,Simpex,HLG-320H-24B,252,90,43.8,large,220_240v_ac
1212480600,LED Converter HLG-480H-24B dimmbar 1-10V IP67,284.0,2,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,262,125,43.8,,,1_10v,,IP67,other,Simpex,HLG-480H-24B,262,125,43.8,large,220_240v_ac
1212600600,LED Converter HLG-600H-24B dimmbar 1-10V IP67,322.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,280,144,43.8,,,1_10v,,IP67,other,Simpex,HLG-600H-24B,280,144,43.8,large,220_240v_ac
1221060200,LED Converter XLC 60W 12V/5A DALI | TOUCHDIM,49.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,176,45,32,60,cv,dali|touchdim,,,other,Simpex,XLC-60-12-DA2S,176,45,32,medium,220_240v_ac
1221060201,LED Converter XLC 60W 12V/5A DALI | TOUCHDIM,48.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,136,45,32,60,cv,dali|touchdim,,,other,Simpex,XLC-60-12-DA2,136,45,32,medium,220_240v_ac
1221060600,LED Converter PWM 60W 12V DALI | IP67,43.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,150,53,35,60,cv,dali,,IP67,other,Simpex,PWM-60-12DA2,150,53,35,medium,220_240v_ac
1221075600,LED Converter ELG-75-12DA DALI dimmbar IP67,50.0,3,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,180,63,35.5,,,dali,,IP67,other,Simpex,ELG-75-12DA-3Y,180,63,35.5,medium,220_240v_ac
1222018200,LED Converter LC 18W 24V one4all NF SC EXC2,45.0,16,instock,simple,publish,LED Treiber,CONVERTER V,,175,43,30,18,cv,one4all,,,lc,Tridonic,28004434,175,43,30,medium,220_240v_ac
1222018201,LED Converter LC 18W 24V one4all Ip PRE,49.0,18,instock,simple,publish,LED Treiber,CONVERTER V,,280,30,21,18,cv,one4all,,,lc,Tridonic,28003519,280,30,21,large,220_240v_ac
1222020600,LED Converter HDL 20W 24V DALI dimmbar IP67,42.0,34,instock,simple,publish,LED Treiber,CONVERTER V,,115,38,22,20,cv,dali,,IP67,other,KAV,HDL-CV-20,115,38,22,compact,220_240v_ac
1222025201,LED Converter 25W 24VDC DALI | TOUCH DIM,102.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V LUNATONE ERVOTECH,,110,41,21.6,25,cv,dali|touchdim,,,other,K00473,9453849-24V,110,41,21.6,compact,220_240v_ac
1222035200,LED Converter LCA 35W 24V one4all SC PRE,55.0,75,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,195,43,30.2,35,cv,one4all,,,lca,Tridonic,28001662,195,43,30.2,medium,220_240v_ac
1222035202,LED Converter LC 35W 24V one4all NF Ip EXC2,55.0,11,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,360,30,21,35,cv,one4all,,,lc,Tridonic,28005503,360,30,21,large,220_240v_ac
1222035203,LED Converter LCA 35W 24V one4all NF SC EXC2,55.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,195,43,30,35,cv,one4all,,,lca,Tridonic,28004430,195,43,30,medium,220_240v_ac
1222040200,LED Converter 40W 24V DC DALI,66.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,122,78,32,40,cv,dali,,,other,BAG Electronics,843278,122,78,32,medium,220_240v_ac
1222040600,LED Converter HDL 40W 24V DALI dimmbar IP67,49.0,32,instock,simple,publish,LED Treiber,CONVERTER V,,125,42,28,40,cv,dali,,IP67,other,KAV,HDL-CV-40,125,42,28,medium,220_240v_ac
1222045200,LED Converter LS-45-24 LI 45W 24VDC DALI,46.0,69,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,187,45,30.5,45,cv,dali,,,other,Simpex,LS-45-24 DALI2 LI,187,45,30.5,medium,220_240v_ac
1222060200,LED Converter LC 60W 24V one4all NF SC EXC2,66.0,6,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,225,43,30,60,cv,one4all,,,lc,Tridonic,28004431,225,43,30,medium,220_240v_ac
1222060202,LED Converter 60W 24V DALI | TOUCHDIM,49.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V KGP,,350,30,18,60,cv,dali|touchdim,,,other,K00738,LV60W24CG2 DALI,350,30,18,large,220_240v_ac
1222060203,LED Converter LC 60W 24V one4all Ip PRE EXC2,66.0,2,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,360,30,21,60,cv,one4all,,,lc,Tridonic,28005504,360,30,21,large,220_240v_ac
1222060600,LED Converter PWM-60-24DA2 DALI dimmbar IP67,47.0,5,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,150,53,35,,,dali,,IP67,other,Simpex,PWM-60-24DA2,150,53,35,medium,220_240v_ac
